Frame	x	y
4720	317.786	73.105
4721	317.663	73.685
4722	316.52	72.739
4723	316.854	71.272
4724	317.395	71.844
4725	317.786	71.206
4726	316.907	70.156
4727	317.159	70.745
4728	317.204	70.797
4729	317.123	70.905
4730	317.038	70.542
4731	316.944	70.55
4732	317.214	70.194
4733	317.192	71.171
4734	317.168	70.801
4735	317.336	71.052
4736	317.007	70.582
4737	316.845	70.728
4738	317.201	70.748
4739	316.885	70.069
4740	317.108	70.681
4741	316.951	71.476
4742	317.202	70.811
4743	317.073	69.705
4744	316.897	70.438
4745	317.236	71.07
4746	317.226	70.417
4747	316.888	70.399
4748	317.708	70.529
4749	318.916	69.536
4750	318.995	69.53
4751	319.105	69.313
4752	319.078	69.719
4753	318.791	70.117
4754	317.791	70.455
4755	316.992	70.267
4756	317.179	70.423
4757	317.274	70.516
4758	317.107	69.668
4759	317.187	70.227
4760	317.299	70.931
4761	317.252	71.018
4762	317.255	70.683
4763	316.978	71.32
4764	316.846	70.692
4765	316.959	71.137
4766	316.865	70.501
4767	316.585	70.823
4768	316.979	70.207
4769	317.069	70.042
4770	316.503	70.604
4771	316.517	70.144
4772	316.945	70.118
4773	316.782	70.05
4774	316.913	70.206
4775	317.03	70.644
4776	316.753	70.495
4777	317.336	69.923
4778	317.079	69.182
4779	317.094	68.851
4780	317.2	69.311
4781	316.898	71.054
4782	317.178	70.882
4783	316.847	70.507
4784	317.094	70.713
4785	316.893	71.019
4786	316.951	71.192
4787	316.807	70.488
4788	316.654	71.009
4789	317.12	70.549
4790	317.044	70.459
4791	318.193	70.539
4792	318.247	70.832
4793	317.94	70.647
4794	317.214	70.489
4795	317.089	71.042
4796	316.679	71.029
4797	317.109	71.338
4798	317.079	71.185
4799	317.423	70.565
4800	317.125	71.343
4801	316.646	71.769
4802	316.715	71.689
4803	318.053	71.511
4804	319.09	71.841
4805	319.313	72.075
4806	319.391	72.413
4807	319.467	72.66
4808	319.711	72.307
4809	319.913	72.684
4810	320.435	72.493
4811	321.284	72.601
4812	320.893	72.401
4813	319.632	72.653
4814	319.512	72.496
4815	319.499	72.31
4816	319.69	71.839
4817	319.531	71.996
4818	320.412	72.608
4819	320.814	72.551
4820	321.173	72.186
4821	322.167	73.913
4822	322.167	73.913
4823	322.167	73.913
4824	322.167	73.913
4825	322.167	73.913
4826	322.167	73.913
4827	322.313	73.795
4828	322.313	73.795
4829	322.313	73.795
4830	322.313	73.795
4831	322.313	73.795
4832	322.173	73.691
4833	322.456	73.64
4834	323.179	72.776
4835	323.251	71.219
4836	322.705	70.625
4837	321.065	70.671
4838	321.065	70.495
4839	320.925	70.397
4840	320.928	70.837
4841	320.446	70.442
4842	320.433	69.89
4843	319.822	70.504
4844	319.858	70.457
4845	319.902	70.164
4846	320.17	70.087
4847	319.287	70.203
4848	319.142	69.806
4849	319.031	69.459
4850	318.711	69.515
4851	318.912	69.573
4852	319.156	69.482
4853	320.284	70.792
4854	320.828	71.428
4855	320.61	72.678
4856	320.66	73.014
4857	320.924	73.245
4858	320.97	73.506
4859	320.899	73.67
4860	320.849	73.514
4861	320.234	73.159
4862	319.254	74.271
4863	319.643	75.088
4864	320.357	76.165
4865	321.811	75.95
4866	322.869	76.37
4867	324.106	77.368
4868	324.117	77.361
4869	324.299	76.839
4870	323.957	77.116
4871	323.571	77.387
4872	322.706	77.263
4873	322.115	76.551
4874	322.256	75.689
4875	321.81	76.672
4876	321.634	77.388
4877	321.302	77.035
4878	321.887	76.633
4879	321.711	76.963
4880	320.483	77.953
4881	319.654	77.921
4882	319.608	77.679
4883	319.702	78.63
4884	320.21	79.81
