Trajectory	Frame	x	y	z
1	644	19.671	29.698	0
1	645	20.187	30.182	0
1	646	20.225	30.455	0
1	647	20.025	30.783	0
1	648	20.048	30.909	0
1	649	19.728	30.592	0
1	650	20.075	30.597	0
1	651	20.611	30.595	0
1	652	20.733	30.357	0
1	653	20.981	30.259	0
1	654	20.901	30.474	0
1	655	20.735	30.318	0
1	656	20.398	30.539	0
1	657	20.618	30.568	0
1	658	20.459	30.226	0
1	659	20.582	30.448	0
1	660	20.65	30.392	0
1	661	20.527	30.709	0
1	662	20.679	30.52	0
1	663	20.628	30.419	0
1	664	20.474	30.255	0
1	665	20.239	30.5	0
1	666	20.267	29.635	0
1	667	20.442	28.889	0
1	668	20.47	28.233	0
1	669	20.462	27.674	0
1	670	19.897	27.769	0
1	671	19.316	27.822	0
1	672	19.171	27.569	0
1	673	18.879	27.428	0
1	674	19.386	27.195	0
1	675	19.258	27.079	0
1	676	19.42	27.095	0
1	677	18.923	26.942	0
1	678	18.72	26.924	0
1	679	18.91	26.749	0
1	680	18.936	26.926	0
1	681	19.384	27.2	0
1	682	19.446	27.074	0
1	683	19.267	27.135	0
1	684	19.078	27.409	0
1	685	18.902	27.165	0
1	686	19.182	27.205	0
1	687	19.35	27.836	0
1	688	18.863	27.71	0
1	689	19.155	28.037	0
1	690	19.077	28.715	0
1	691	18.967	29.122	0
1	692	19.421	29.242	0
1	693	19.7	29.252	0
1	694	20.412	29.091	0
1	695	20.44	28.735	0
1	696	20.289	28.634	0
1	697	20.577	28.199	0
1	698	20.861	27.997	0
1	699	20.661	28.276	0
1	700	20.592	28.179	0
1	701	20.683	27.979	0
1	702	20.565	28.263	0
1	703	20.511	28.488	0
1	704	20.669	28.413	0
1	705	20.495	28.598	0
1	706	20.207	28.662	0
1	707	20.291	28.677	0
1	708	19.94	27.777	0
1	709	20.096	27.607	0
1	710	20.881	27.698	0
1	711	20.6	27.578	0
1	712	20.467	27.366	0
1	713	20.346	27.738	0
1	714	20.249	27.892	0
1	715	20.325	28.077	0
1	716	20.791	28.437	0
1	717	20.673	28.793	0
1	718	20.737	28.749	0
1	719	20.737	28.745	0
1	720	20.648	28.606	0
1	721	20.798	28.444	0
1	722	20.88	28.978	0
1	723	20.564	28.306	0
1	724	20.577	28.399	0
1	725	20.759	28.804	0
1	726	20.595	29.084	0
1	727	20.459	29.393	0
1	728	20.592	29.287	0
